Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,177.830002,182.880005,177.710007,182.009995,179.953903,104487900
2022-01-04,182.630005,182.940002,179.119995,179.699997,177.669983,99310400
2022-01-05,179.610001,180.169998,174.639999,174.919998,172.943985,94537600
2022-01-06,172.699997,175.300003,171.639999,172.000000,170.056976,96904000
2022-01-07,172.889999,174.139999,171.029999,172.169998,170.225082,86709100
2022-01-10,169.080002,172.500000,168.169998,172.190002,170.244843,106765600
2022-01-11,172.320007,175.179993,170.820007,175.080002,173.102173,76138300
2022-01-12,176.119995,177.179993,174.820007,175.529999,173.547104,74805200
2022-01-13,175.779999,176.619995,171.789993,172.190002,170.244843,84505800
2022-01-14,171.339996,173.779999,171.089996,173.070007,171.114899,80440800
2022-01-18,171.509995,172.539993,169.410004,169.800003,167.881836,90956700
2022-01-19,170.000000,171.080002,165.940002,166.229996,164.352158,94815000
2022-01-20,166.979996,169.679993,164.179993,164.509995,162.651596,91420500
2022-01-21,164.419998,166.330002,162.300003,162.410004,160.575302,122848900
2022-01-24,160.020004,162.300003,154.699997,161.619995,159.794235,162294600
2022-01-25,158.979996,162.759995,157.020004,159.779999,157.975006,115798400
2022-01-26,163.500000,164.389999,157.820007,159.690002,157.886017,108275300
2022-01-27,162.449997,163.839996,158.279999,159.220001,157.421341,121954600
2022-01-28,165.710007,170.350006,162.800003,170.330002,168.405838,179935700
2022-01-31,170.160004,175.000000,169.509995,174.779999,172.805573,115541600
2022-02-01,174.009995,174.839996,172.309998,174.610001,172.637512,86213900
2022-02-02,174.750000,175.880005,173.330002,175.839996,173.853577,84914300
2022-02-03,174.479996,176.240005,172.119995,172.899994,170.946793,89418100
2022-02-04,171.679993,174.100006,170.679993,172.389999,170.659744,82465400
2022-02-07,172.860001,173.949997,170.949997,171.660004,169.937057,77251200
2022-02-08,171.729996,175.350006,171.429993,174.830002,173.075241,74829200
2022-02-09,176.050003,176.649994,174.899994,176.279999,174.510666,71285000
2022-02-10,174.139999,175.479996,171.550003,172.119995,170.392426,90865900
2022-02-11,172.330002,173.080002,168.039993,168.639999,166.947342,98670700
2022-02-14,167.369995,169.580002,166.559998,168.880005,167.184952,86185500
2022-02-15,170.970001,172.949997,170.250000,172.789993,171.055695,62527400
2022-02-16,171.850006,173.339996,170.050003,172.550003,170.818115,61177400
2022-02-17,171.029999,171.910004,168.470001,168.880005,167.184952,69589300
2022-02-18,169.820007,170.539993,166.190002,167.300003,165.620819,82772700
